,med_scores,record_idx,f1_scores
81008,14.222222222222221,15209,1.0
81010,18.88888888888889,15209,0.3333333333333333
81012,14.0,15210,1.0
81014,14.0,15210,1.0
81016,19.833333333333332,15211,0.8
81018,19.833333333333332,15211,0.8
81020,19.833333333333332,15211,0.8
81022,17.333333333333332,15212,1.0
81024,17.333333333333332,15212,1.0
81026,17.77777777777778,15212,0.6666666666666666
81028,19.333333333333332,15213,1.0
81030,19.333333333333332,15213,1.0
81032,19.333333333333332,15213,1.0
81034,22.11111111111111,15214,0.6666666666666666
81036,23.11111111111111,15214,1.0
81038,23.0,15214,0.6666666666666666
81040,24.77777777777778,15215,0.6666666666666666
81042,24.444444444444443,15215,0.6666666666666666
81044,14.222222222222221,15216,1.0
81046,15.333333333333334,15216,0.8
81048,15.333333333333334,15216,0.8
81050,6.888888888888889,15217,1.0
81052,10.166666666666666,15217,0.4
81054,6.888888888888889,15217,1.0
81056,10.166666666666666,15218,0.4
81058,10.0,15218,0.6666666666666666
81060,9.5,15218,0.8
81062,18.11111111111111,15219,0.6666666666666666
81064,18.11111111111111,15219,0.6666666666666666
81066,16.88888888888889,15219,1.0
81068,20.88888888888889,15220,1.0
81070,23.444444444444443,15220,0.6666666666666666
81072,23.555555555555557,15220,0.6666666666666666
81074,22.88888888888889,15221,1.0
81076,22.88888888888889,15221,1.0
81078,22.88888888888889,15221,1.0
81080,24.555555555555557,15222,0.6666666666666666
81082,22.266666666666666,15222,0.5
81084,22.6,15222,0.5
81086,13.555555555555555,15223,1.0
81088,14.11111111111111,15223,0.6666666666666666
81090,13.555555555555555,15223,1.0
81092,13.777777777777779,15224,1.0
81094,13.777777777777779,15224,1.0
81096,13.777777777777779,15224,1.0
81098,20.22222222222222,15225,1.0
81100,20.22222222222222,15225,1.0
81102,20.22222222222222,15225,1.0
81104,6.444444444444445,15226,0.6666666666666666
81106,7.111111111111111,15226,0.6666666666666666
81108,6.555555555555555,15226,0.6666666666666666
81110,19.11111111111111,15227,1.0
81112,19.11111111111111,15227,1.0
81114,19.11111111111111,15227,1.0
81116,21.11111111111111,15228,1.0
81118,21.11111111111111,15228,1.0
81120,21.22222222222222,15228,0.6666666666666666
81122,21.11111111111111,15229,1.0
81124,21.11111111111111,15229,1.0
81126,21.11111111111111,15229,1.0
81128,23.333333333333332,15230,1.0
81130,23.333333333333332,15230,1.0
81132,23.083333333333332,15230,0.8571428571428571
81134,21.77777777777778,15231,1.0
81136,21.77777777777778,15231,1.0
81138,21.77777777777778,15231,1.0
81140,28.25,15232,0.5714285714285715
81142,22.88888888888889,15232,0.6666666666666666
81144,30.916666666666668,15232,0.5714285714285715
81146,28.333333333333332,15233,0.6666666666666666
81148,27.77777777777778,15233,1.0
81150,27.77777777777778,15233,1.0
81152,18.88888888888889,15234,1.0
81154,18.88888888888889,15234,1.0
81156,18.88888888888889,15234,1.0
81158,12.666666666666666,15235,0.8
81160,12.444444444444445,15235,1.0
81162,12.5,15235,0.8
81164,22.666666666666668,15236,0.6666666666666666
81166,24.444444444444443,15237,0.6666666666666666
81168,24.0,15237,1.0
81170,24.0,15237,1.0
81172,24.0,15237,1.0
81174,16.666666666666668,15238,1.0
81176,16.666666666666668,15238,1.0
81178,16.666666666666668,15238,1.0
81180,16.666666666666668,15238,1.0
81182,16.666666666666668,15239,1.0
81184,16.666666666666668,15239,1.0
81186,16.666666666666668,15239,1.0
81188,23.88888888888889,15240,0.6666666666666666
81190,20.555555555555557,15240,0.6666666666666666
81192,24.22222222222222,15240,0.6666666666666666
81194,16.22222222222222,15241,1.0
81196,16.22222222222222,15241,1.0
81198,17.555555555555557,15242,0.3333333333333333
81200,16.0,15243,1.0
81202,16.0,15243,1.0
81204,11.666666666666666,15244,0.6666666666666666
81206,11.666666666666666,15244,0.6666666666666666
81208,11.777777777777779,15244,1.0
81210,11.166666666666666,15245,0.8
81212,10.666666666666666,15245,1.0
81214,12.777777777777779,15245,0.6666666666666666
81216,16.22222222222222,15246,1.0
81218,16.22222222222222,15246,1.0
81220,16.22222222222222,15246,1.0
81222,11.444444444444445,15247,0.6666666666666666
81224,11.333333333333334,15247,1.0
81226,16.666666666666668,15248,1.0
81228,16.666666666666668,15248,1.0
81230,16.666666666666668,15248,1.0
81232,12.777777777777779,15249,0.6666666666666666
81234,12.666666666666666,15249,1.0
81236,14.333333333333334,15249,0.4
81238,18.22222222222222,15250,1.0
81240,18.333333333333332,15250,0.3333333333333333
81242,14.444444444444445,15251,1.0
81244,14.555555555555555,15251,0.6666666666666666
81246,15.11111111111111,15251,0.3333333333333333
81248,16.77777777777778,15252,0.6666666666666666
81250,16.77777777777778,15252,0.6666666666666666
81252,16.77777777777778,15252,0.6666666666666666
81254,12.88888888888889,15253,0.6666666666666666
81256,12.666666666666666,15253,1.0
81258,12.666666666666666,15253,1.0
81260,15.666666666666666,15254,0.6666666666666666
81262,15.666666666666666,15254,0.6666666666666666
81264,15.666666666666666,15254,0.6666666666666666
81266,18.11111111111111,15255,0.6666666666666666
81268,16.22222222222222,15255,1.0
81270,19.0,15255,0.6666666666666666
81272,22.22222222222222,15256,1.0
81274,22.555555555555557,15256,0.0
81276,22.22222222222222,15256,1.0
81278,23.555555555555557,15257,0.6666666666666666
81280,25.11111111111111,15257,1.0
81282,25.11111111111111,15257,1.0
81284,16.88888888888889,15258,1.0
81286,17.5,15258,0.8
81288,17.666666666666668,15258,0.8
81290,13.444444444444445,15259,0.6666666666666666
81292,13.444444444444445,15259,0.6666666666666666
81294,10.222222222222221,15260,1.0
81296,12.0,15260,0.6666666666666666
81298,10.222222222222221,15260,1.0
81300,17.166666666666668,15261,0.4
81302,17.11111111111111,15261,0.3333333333333333
81304,17.166666666666668,15261,0.4
81306,17.11111111111111,15262,1.0
81308,17.11111111111111,15262,1.0
81310,20.22222222222222,15263,1.0
81312,20.22222222222222,15263,1.0
81314,18.083333333333332,15263,0.5714285714285715
81316,19.77777777777778,15264,1.0
81318,19.77777777777778,15264,1.0
81320,19.77777777777778,15264,1.0
81322,16.0,15265,1.0
81324,16.0,15265,1.0
81326,16.0,15265,1.0
81328,23.77777777777778,15266,1.0
81330,23.77777777777778,15266,1.0
81332,23.77777777777778,15266,1.0
81334,18.88888888888889,15267,1.0
81336,18.88888888888889,15267,1.0
81338,18.88888888888889,15267,1.0
81340,14.666666666666666,15268,1.0
81342,14.666666666666666,15268,1.0
81344,14.666666666666666,15268,1.0
81346,19.77777777777778,15269,1.0
81348,20.833333333333332,15269,0.8571428571428571
81350,20.555555555555557,15269,0.6666666666666666
81352,17.333333333333332,15270,0.8
81354,17.333333333333332,15270,0.8
81356,17.333333333333332,15270,0.8
81358,20.0,15271,1.0
81360,20.0,15271,1.0
81362,20.0,15271,1.0
81364,14.0,15272,1.0
81366,14.0,15272,1.0
81368,14.0,15272,1.0
81370,20.444444444444443,15273,0.6666666666666666
81372,19.11111111111111,15273,1.0
81374,19.77777777777778,15273,0.6666666666666666
81376,21.444444444444443,15274,0.6666666666666666
81378,21.444444444444443,15274,0.6666666666666666
81380,14.222222222222221,15275,1.0
81382,20.333333333333332,15275,0.4
81384,13.11111111111111,15276,1.0
81386,13.88888888888889,15276,0.6666666666666666
81388,12.88888888888889,15277,1.0
81390,12.88888888888889,15277,1.0
81392,23.11111111111111,15278,1.0
81394,22.0,15278,0.6666666666666666
81396,15.666666666666666,15279,0.6666666666666666
81398,15.88888888888889,15279,0.3333333333333333
81400,15.666666666666666,15279,0.6666666666666666
81402,15.88888888888889,15280,0.6666666666666666
81404,21.22222222222222,15280,0.6666666666666666
81406,17.11111111111111,15280,0.6666666666666666
81408,15.555555555555555,15281,1.0
81410,15.777777777777779,15281,0.6666666666666666
81412,17.333333333333332,15282,1.0
81414,20.166666666666668,15282,0.4
81416,17.083333333333332,15283,0.5714285714285715
81418,16.0,15283,1.0
81420,27.0,15284,0.0
81422,27.333333333333332,15284,0.6666666666666666
81424,24.333333333333332,15285,0.8
81426,24.22222222222222,15285,1.0
81428,24.22222222222222,15285,1.0
81430,24.0,15286,0.6666666666666666
81432,23.77777777777778,15286,1.0
81434,23.77777777777778,15286,1.0
81436,26.88888888888889,15287,0.3333333333333333
81438,32.44444444444444,15287,0.3333333333333333
